WT_0min_R1	WT_3min_R1	WT_6min_R1	WT_12min_R1	WT_24min_R1	dproQ_0min_R1	dproQ_3min_R1	dproQ_6min_R1	dproQ_12min_R1	dproQ_24min_R1	proQp_0min_R1	proQp_3min_R1	proQp_6min_R1	proQp_12min_R1	proQp_24min_R1	WT_0min_R2	WT_3min_R2	WT_6min_R2	WT_12min_R2	dproQ_0min_R2	dproQ_3min_R2	dproQ_6min_R2	dproQ_12min_R2	proQp_0min_R2	proQp_3min_R2	proQp_6min_R2	proQp_12min_R2	WT_0min_R3	WT_3min_R3	WT_6min_R3	WT_12min_R3	WT_24min_R3	dproQ_0min_R3	dproQ_3min_R3	dproQ_6min_R3	dproQ_12min_R3	dproQ_24min_R3	proQp_0min_R3	proQp_3min_R3	proQp_6min_R3	proQp_12min_R3	proQp_24min_R3
SL1344_0199	5	8	1	4	10	6	5	2	6	7	1	7	3	3	6	2	14	3	9	2	24	3	4	8	19	7	8	5	9	2	10	14	9	8	1	4	7	11	3	12	4	12
SL1344_0200	14	13	3	5	4	14	14	2	2	3	19	9	4	6	8	17	22	7	6	18	25	4	2	16	12	3	6	15	4	1	4	10	15	11	4	3	7	12	8	11	13	17
SL1344_0201	7	12	1	5	4	6	8	1	0	3	10	4	2	2	6	8	23	1	2	9	16	1	1	5	7	2	4	10	5	1	3	6	12	10	1	2	6	10	4	8	7	6
SL1344_0202	67	33	6	4	3	98	31	6	7	7	126	15	8	10	9	135	53	9	9	182	41	4	12	80	28	15	12	118	6	3	4	16	146	19	9	5	12	99	30	67	38	48
SL1344_0203	1469	763	182	157	236	1734	596	168	143	277	2129	1017	305	265	438	959	884	238	210	818	1044	181	223	1754	1171	263	308	1444	497	158	127	324	1886	458	150	165	275	2287	1265	1683	1353	1364
SL1344_0204	486	177	37	48	59	592	177	53	50	74	743	144	51	68	113	595	188	65	70	623	304	64	67	518	271	63	78	571	73	42	29	123	829	127	54	54	90	766	331	490	479	579
SL1344_0205	477	352	85	100	120	1101	346	92	69	112	1329	462	143	110	197	776	373	102	133	768	722	100	114	716	628	130	187	516	222	83	73	207	953	325	77	98	145	1345	680	1008	762	873
SL1344_0206	427	227	29	25	39	428	228	35	29	37	652	116	42	44	55	142	349	38	33	205	514	26	35	248	138	29	55	325	47	20	16	55	449	70	31	31	53	615	210	370	299	295
SL1344_0207	335	62	8	15	7	327	61	11	5	20	525	52	10	19	29	130	105	18	20	121	126	7	16	211	67	11	23	296	14	11	8	22	397	26	10	14	16	409	95	146	105	93
SL1344_0208	1228	542	443	276	187	880	257	160	77	91	1947	1351	1424	581	452	792	637	418	299	384	508	155	85	1213	1043	702	560	1001	642	577	242	286	1076	331	163	94	126	1207	736	1174	671	694
SL1344_0209	303	186	106	62	34	424	188	145	82	44	379	174	112	72	57	425	253	187	63	304	321	154	114	283	222	140	74	460	203	139	46	52	650	245	187	97	44	282	172	297	209	216
SL1344_0210	2408	1689	1224	565	313	3037	1651	1025	685	402	4058	3063	2350	954	631	3560	2549	1960	781	1854	2262	1300	861	2773	2845	1871	1137	2834	2782	2256	794	613	3919	3726	2633	1410	641	3461	2874	4703	3341	3514
SL1344_0211	146	213	94	50	44	355	151	80	36	49	250	190	92	38	76	1046	102	59	40	957	193	34	33	1097	296	77	63	207	205	66	27	45	252	109	32	28	29	447	461	791	530	522
SL1344_0212	9194	7520	4924	435	184	12774	4676	2366	182	189	8897	10485	7961	1341	666	8552	11339	6485	686	5431	10286	2217	250	6732	8818	5353	1567	10874	8320	5697	541	428	16166	7749	2348	266	284	5355	4479	5316	2026	1708
SL1344_0213	298	157	43	34	32	249	76	35	18	26	663	296	124	90	96	376	308	70	48	271	153	29	32	307	283	159	108	350	96	43	29	54	443	73	31	19	40	359	224	317	223	202
