WT_0min_R1	WT_3min_R1	WT_6min_R1	WT_12min_R1	WT_24min_R1	dproQ_0min_R1	dproQ_3min_R1	dproQ_6min_R1	dproQ_12min_R1	dproQ_24min_R1	proQp_0min_R1	proQp_3min_R1	proQp_6min_R1	proQp_12min_R1	proQp_24min_R1	WT_0min_R2	WT_3min_R2	WT_6min_R2	WT_12min_R2	dproQ_0min_R2	dproQ_3min_R2	dproQ_6min_R2	dproQ_12min_R2	proQp_0min_R2	proQp_3min_R2	proQp_6min_R2	proQp_12min_R2	WT_0min_R3	WT_3min_R3	WT_6min_R3	WT_12min_R3	WT_24min_R3	dproQ_0min_R3	dproQ_3min_R3	dproQ_6min_R3	dproQ_12min_R3	dproQ_24min_R3	proQp_0min_R3	proQp_3min_R3	proQp_6min_R3	proQp_12min_R3	proQp_24min_R3
SL1344_0029	39	104	25	6	5	44	69	8	9	2	97	80	43	2	20	34	82	44	12	30	120	25	6	20	94	40	10	51	60	11	4	7	76	82	9	7	8	78	62	55	31	20
SL1344_0030	0	3	1	1	0	5	3	4	0	0	5	2	2	0	0	7	10	0	1	4	2	1	2	1	2	0	2	3	3	2	0	3	4	2	0	2	1	0	3	1	3	2
SL1344_0031	24	4	6	8	4	32	4	7	6	6	34	3	3	3	4	11	14	8	4	27	16	3	4	21	9	5	5	36	3	3	1	2	40	5	2	4	2	32	3	4	6	4
SL1344_0032	15	14	5	1	1	14	18	5	4	2	20	16	6	2	3	6	17	4	0	13	29	7	0	14	19	6	1	26	9	9	3	1	43	11	3	2	1	13	12	8	7	3
SL1344_0033	66	46	28	26	9	35	24	12	7	5	81	54	47	34	38	79	54	32	29	47	43	12	14	47	54	38	27	106	54	51	25	22	87	21	14	15	10	57	35	59	31	45
SL1344_0034	124	63	25	13	21	136	40	20	14	13	162	37	44	24	34	110	71	43	19	114	61	29	13	87	51	35	21	151	34	36	10	28	170	35	16	16	16	109	60	86	63	46
SL1344_0035	7	2	0	1	4	5	3	0	3	3	9	0	1	4	1	4	3	0	1	9	2	0	2	7	1	2	4	14	2	1	1	4	12	0	0	0	3	4	6	4	3	1
SL1344_0036	186	212	150	67	31	270	160	128	58	30	194	205	162	58	65	272	274	210	68	182	279	133	61	184	278	190	74	280	278	216	78	57	402	295	170	76	41	224	185	265	161	145
SL1344_0037	67	31	12	5	10	87	21	5	8	9	92	19	10	15	14	97	28	6	7	113	35	12	10	61	24	5	15	80	10	5	7	15	94	9	5	4	9	99	40	45	39	44
SL1344_0038	47	45	1	8	12	46	33	5	8	8	50	17	9	6	9	39	57	11	10	51	66	5	4	30	24	6	11	65	14	5	2	7	52	7	5	8	10	44	33	40	25	39
SL1344_0039	281	236	63	54	43	202	139	41	35	40	499	207	149	85	120	333	334	101	73	230	230	25	37	266	267	114	109	348	136	65	48	62	366	105	27	24	62	362	212	272	211	207
SL1344_0040	1163	960	593	193	219	1716	950	569	168	223	2010	1297	936	259	345	1408	1251	685	284	980	1453	655	294	1902	2030	1133	430	1386	999	558	139	282	2534	1418	667	231	288	2829	2275	2955	1787	1861
SL1344_0041	1009	1411	533	127	126	1320	922	308	62	116	1895	1594	921	222	244	1327	1826	669	161	758	1264	384	98	1506	2070	768	243	1284	1133	379	85	158	1839	1089	308	81	149	1937	1469	1830	993	993
SL1344_0042	176	220	191	74	37	263	199	239	111	73	228	190	185	89	62	423	331	365	136	292	356	325	212	160	222	266	150	216	250	208	77	57	460	457	332	120	54	231	206	313	173	183
SL1344_0043	43	33	39	27	3	72	59	49	34	17	52	40	34	18	14	43	76	55	30	45	96	74	57	35	56	57	23	53	36	25	9	11	135	79	52	19	11	45	35	63	33	32
SL1344_0044	22592	11933	3175	2167	1532	12151	8049	3237	1501	1080	35124	15098	8097	4252	4033	2621	10369	3347	2037	2708	12266	2390	2168	6529	12020	4128	3388	15196	5347	1984	1218	1595	9429	4636	1161	917	922	23658	11922	10600	7936	7168
SL1344_0045	14	9	1	2	2	11	5	0	0	0	22	4	3	0	3	3	14	0	0	10	8	0	4	4	3	2	1	29	2	0	1	0	18	1	0	0	3	12	3	1	6	4
SL1344_0046	920	382	96	55	89	1156	392	99	62	91	1628	284	107	117	142	517	381	101	90	559	631	112	118	864	475	96	127	1309	252	80	77	163	1602	292	116	73	110	1734	727	1171	917	943
SL1344_0047	4498	3759	968	429	564	6640	4044	1770	391	658	8311	4207	974	533	878	5308	3773	992	529	4698	7495	1714	604	6686	5976	1335	707	6406	3437	847	363	910	8803	4894	1348	554	820	8848	6441	7836	5604	6233
SL1344_0048	1079	864	313	126	149	1293	873	580	221	236	1699	1131	379	208	281	1358	975	353	154	1358	1506	391	224	1050	1319	360	262	1267	797	272	122	273	1718	1081	322	146	261	1817	1660	2395	1873	1766
SL1344_0049	565	946	256	58	69	701	1078	452	43	92	1005	1140	273	79	126	543	1143	369	64	752	1639	496	124	516	1545	345	88	778	1097	163	51	110	1007	1436	239	51	93	957	1163	998	611	531
SL1344_0050	1170	3441	1110	159	182	1481	4270	1316	158	176	1882	4734	1129	191	274	1157	4002	1474	143	1333	6267	1846	222	1266	6389	1451	255	1666	4078	585	102	279	2142	6115	833	195	245	2046	4039	2423	1122	1019
ERCC-00002	2725	5761	9704	13972	22896	3332	4524	9731	12527	26418	3970	5382	9067	12286	27573	3031	4234	6940	10760	3811	4130	6188	13027	2150	4147	6544	12717	2991	4907	7618	9325	26512	2991	5537	8430	12298	21390	3286	4074	9799	9978	21548
ERCC-00003	524	1186	1633	2260	3591	534	814	1063	2146	4114	615	892	1400	2009	4506	541	708	1138	1636	577	606	1042	1819	341	662	908	1771	513	866	1173	1376	3719	468	881	1191	1889	3039	509	570	1511	1485	3186
ERCC-00004	1334	2517	3498	4657	7486	1343	1917	2492	4309	9221	1594	2075	3261	4073	9281	1111	1645	2492	3561	1465	1429	2168	3651	822	1545	1964	4310	1334	1998	2520	2851	7910	1273	2139	2769	3955	6314	1274	1219	2986	3293	6962
ERCC-00009	250	517	782	1050	1767	239	397	699	1098	2075	290	413	714	920	2007	278	405	621	871	283	336	503	1060	168	306	453	973	230	387	632	736	1875	210	434	619	931	1631	242	344	749	768	1652
